"","precio","quilate","corte","color","claridad","profundidad","tabla","x","y","z"
"31",402,0.23,"Muy bueno","F","VS1",60,57,4,4.03,2.41
"32",402,0.23,"Muy bueno","F","VS1",59.8,57,4.04,4.06,2.42
"33",402,0.23,"Muy bueno","E","VS1",60.7,59,3.97,4.01,2.42
"34",402,0.23,"Muy bueno","E","VS1",59.5,58,4.01,4.06,2.4
"35",402,0.23,"Muy bueno","D","VS1",61.9,58,3.92,3.96,2.44
"36",402,0.23,"Bueno","F","VS1",58.2,59,4.06,4.08,2.37
"37",402,0.23,"Bueno","E","VS1",64.1,59,3.83,3.85,2.46
"38",402,0.31,"Bueno","H","SI1",64,54,4.29,4.31,2.75
"39",403,0.26,"Muy bueno","D","VS2",60.8,59,4.13,4.16,2.52
"40",403,0.33,"Ideal","I","SI2",61.8,55,4.49,4.51,2.78
"41",403,0.33,"Ideal","I","SI2",61.2,56,4.49,4.5,2.75
"42",403,0.33,"Ideal","J","SI1",61.1,56,4.49,4.55,2.76
"43",403,0.26,"Bueno","D","VS2",65.2,56,3.99,4.02,2.61
"44",403,0.26,"Bueno","D","VS1",58.4,63,4.19,4.24,2.46
"45",403,0.32,"Bueno","H","SI2",63.1,56,4.34,4.37,2.75
"46",403,0.29,"Premium","F","SI1",62.4,58,4.24,4.26,2.65
"47",403,0.32,"Muy bueno","H","SI2",61.8,55,4.35,4.42,2.71
"48",403,0.32,"Bueno","H","SI2",63.8,56,4.36,4.38,2.79
"49",404,0.25,"Muy bueno","E","VS2",63.3,60,4,4.03,2.54
"50",404,0.29,"Muy bueno","H","SI2",60.7,60,4.33,4.37,2.64
"51",404,0.24,"Muy bueno","F","SI1",60.9,61,4.02,4.03,2.45
"52",404,0.23,"Ideal","G","VS1",61.9,54,3.93,3.95,2.44
"53",404,0.32,"Ideal","I","SI1",60.9,55,4.45,4.48,2.72
"54",404,0.22,"Premium","E","VS2",61.6,58,3.93,3.89,2.41
"55",404,0.22,"Premium","D","VS2",59.3,62,3.91,3.88,2.31
"56",405,0.3,"Ideal","I","SI2",61,59,4.3,4.33,2.63
"57",405,0.3,"Premium","J","SI2",59.3,61,4.43,4.38,2.61
"58",405,0.3,"Muy bueno","I","SI1",62.6,57,4.25,4.28,2.67
"59",405,0.3,"Muy bueno","I","SI1",63,57,4.28,4.32,2.71
"60",405,0.3,"Bueno","I","SI1",63.2,55,4.25,4.29,2.7
"61",552,0.35,"Ideal","I","VS1",60.9,57,4.54,4.59,2.78
"62",552,0.3,"Premium","D","SI1",62.6,59,4.23,4.27,2.66
"63",552,0.3,"Ideal","D","SI1",62.5,57,4.29,4.32,2.69
"64",552,0.3,"Ideal","D","SI1",62.1,56,4.3,4.33,2.68
"65",552,0.42,"Premium","I","SI2",61.5,59,4.78,4.84,2.96
"66",553,0.28,"Ideal","G","VVS2",61.4,56,4.19,4.22,2.58
"67",553,0.32,"Ideal","I","VVS1",62,55.3,4.39,4.42,2.73
"68",553,0.31,"Muy bueno","G","SI1",63.3,57,4.33,4.3,2.73
"69",553,0.31,"Premium","G","SI1",61.8,58,4.35,4.32,2.68
"70",553,0.24,"Premium","E","VVS1",60.7,58,4.01,4.03,2.44
"71",553,0.24,"Muy bueno","D","VVS1",61.5,60,3.97,4,2.45
"72",554,0.3,"Muy bueno","H","SI1",63.1,56,4.29,4.27,2.7
"73",554,0.3,"Premium","H","SI1",62.9,59,4.28,4.24,2.68
"74",554,0.3,"Premium","H","SI1",62.5,57,4.29,4.25,2.67
"75",554,0.3,"Bueno","H","SI1",63.7,57,4.28,4.26,2.72
"76",554,0.26,"Muy bueno","F","VVS2",59.2,60,4.19,4.22,2.49
"77",554,0.26,"Muy bueno","E","VVS2",59.9,58,4.15,4.23,2.51
"78",554,0.26,"Muy bueno","D","VVS2",62.4,54,4.08,4.13,2.56
"79",554,0.26,"Muy bueno","D","VVS2",62.8,60,4.01,4.05,2.53
"80",554,0.26,"Muy bueno","E","VVS1",62.6,59,4.06,4.09,2.55
"81",554,0.26,"Muy bueno","E","VVS1",63.4,59,4,4.04,2.55
"82",554,0.26,"Muy bueno","D","VVS1",62.1,60,4.03,4.12,2.53
"83",554,0.26,"Ideal","E","VVS2",62.9,58,4.02,4.06,2.54
"84",554,0.38,"Ideal","I","SI2",61.6,56,4.65,4.67,2.87
"85",554,0.26,"Bueno","E","VVS1",57.9,60,4.22,4.25,2.45
"86",554,0.24,"Premium","G","VVS1",62.3,59,3.95,3.92,2.45
"87",554,0.24,"Premium","H","VVS1",61.2,58,4.01,3.96,2.44
"88",554,0.24,"Premium","H","VVS1",60.8,59,4.02,4,2.44
"89",554,0.24,"Premium","H","VVS2",60.7,58,4.07,4.04,2.46
"90",554,0.32,"Premium","I","SI1",62.9,58,4.35,4.33,2.73
"91",2757,0.7,"Ideal","E","SI1",62.5,57,5.7,5.72,3.57
"92",2757,0.86,"Regular","E","SI2",55.1,69,6.45,6.33,3.52
"93",2757,0.7,"Ideal","G","VS2",61.6,56,5.7,5.67,3.5
"94",2759,0.71,"Muy bueno","E","VS2",62.4,57,5.68,5.73,3.56
"95",2759,0.78,"Muy bueno","G","SI2",63.8,56,5.81,5.85,3.72
"96",2759,0.7,"Bueno","E","VS2",57.5,58,5.85,5.9,3.38
"97",2759,0.7,"Bueno","F","VS1",59.4,62,5.71,5.76,3.4
"98",2759,0.96,"Regular","F","SI2",66.3,62,6.27,5.95,4.07
"99",2760,0.73,"Muy bueno","E","SI1",61.6,59,5.77,5.78,3.56
"100",2760,0.8,"Premium","H","SI1",61.5,58,5.97,5.93,3.66
"101",2760,0.75,"Muy bueno","D","SI1",63.2,56,5.8,5.75,3.65
"102",2760,0.75,"Premium","E","SI1",59.9,54,6,5.96,3.58
"103",2760,0.74,"Ideal","G","SI1",61.6,55,5.8,5.85,3.59
"104",2760,0.75,"Premium","G","VS2",61.7,58,5.85,5.79,3.59
"105",2760,0.8,"Ideal","I","VS1",62.9,56,5.94,5.87,3.72
"106",2760,0.75,"Ideal","G","SI1",62.2,55,5.87,5.8,3.63
"107",2760,0.8,"Premium","G","SI1",63,59,5.9,5.81,3.69
"108",2761,0.74,"Ideal","I","VVS2",62.3,55,5.77,5.81,3.61
"109",2761,0.81,"Ideal","F","SI2",58.8,57,6.14,6.11,3.6
"110",2761,0.59,"Ideal","E","VVS2",62,55,5.38,5.43,3.35
"111",2761,0.8,"Ideal","F","SI2",61.4,57,5.96,6,3.67
"112",2761,0.74,"Ideal","E","SI2",62.2,56,5.8,5.84,3.62
"113",2761,0.9,"Premium","I","VS2",63,58,6.16,6.12,3.87
"114",2762,0.74,"Muy bueno","G","SI1",62.2,59,5.73,5.82,3.59
"115",2762,0.73,"Ideal","F","VS2",62.6,56,5.77,5.74,3.6
"116",2762,0.73,"Ideal","F","VS2",62.7,53,5.8,5.75,3.62
"117",2762,0.8,"Premium","F","SI2",61.7,58,5.98,5.94,3.68
"118",2762,0.71,"Ideal","G","VS2",62.4,54,5.72,5.76,3.58
"119",2762,0.7,"Ideal","E","VS2",60.7,58,5.73,5.76,3.49
"120",2762,0.8,"Ideal","F","SI2",59.9,59,6.01,6.07,3.62
"121",2762,0.71,"Ideal","D","SI2",62.3,56,5.73,5.69,3.56
"122",2762,0.74,"Ideal","E","SI1",62.3,54,5.8,5.83,3.62
"123",2762,0.7,"Muy bueno","F","VS2",61.7,63,5.64,5.61,3.47
"124",2762,0.7,"Regular","F","VS2",64.5,57,5.57,5.53,3.58
"125",2762,0.7,"Regular","F","VS2",65.3,55,5.63,5.58,3.66
"126",2762,0.7,"Premium","F","VS2",61.6,60,5.65,5.59,3.46
"127",2763,0.91,"Premium","H","SI1",61.4,56,6.09,5.97,3.7
"128",2763,0.61,"Muy bueno","D","VVS2",59.6,57,5.56,5.58,3.32
"129",2763,0.91,"Regular","H","SI2",64.4,57,6.11,6.09,3.93
"130",2763,0.91,"Regular","H","SI2",65.7,60,6.03,5.99,3.95
"131",2763,0.77,"Ideal","H","VS2",62,56,5.89,5.86,3.64
"132",2764,0.71,"Muy bueno","D","SI1",63.6,58,5.64,5.68,3.6
"133",2764,0.71,"Ideal","D","SI1",61.9,59,5.69,5.72,3.53
"134",2765,0.7,"Muy bueno","E","VS2",62.6,60,5.62,5.65,3.53
"135",2765,0.77,"Muy bueno","H","VS1",61.3,60,5.88,5.9,3.61
"136",2765,0.63,"Premium","E","VVS1",60.9,60,5.52,5.55,3.37
"137",2765,0.71,"Muy bueno","F","VS1",60.1,62,5.74,5.77,3.46
"138",2765,0.71,"Premium","F","VS1",61.8,59,5.69,5.73,3.53
"139",2765,0.76,"Ideal","H","SI1",61.2,57,5.88,5.91,3.61
"140",2766,0.64,"Ideal","G","VVS1",61.9,56,5.53,5.56,3.43
"141",2766,0.71,"Premium","G","VS2",60.9,57,5.78,5.75,3.51
"142",2766,0.71,"Premium","G","VS2",59.8,56,5.89,5.81,3.5
"143",2767,0.7,"Muy bueno","D","VS2",61.8,55,5.68,5.72,3.52
"144",2767,0.7,"Muy bueno","F","VS1",60,57,5.8,5.87,3.5
"145",2767,0.71,"Ideal","D","SI2",61.6,55,5.74,5.76,3.54
"146",2767,0.7,"Bueno","H","VVS2",62.1,64,5.62,5.65,3.5
"147",2768,0.71,"Muy bueno","G","VS1",63.3,59,5.52,5.61,3.52
"148",2768,0.73,"Muy bueno","D","SI1",60.2,56,5.83,5.87,3.52
"149",2768,0.7,"Muy bueno","D","SI1",61.1,58,5.66,5.73,3.48
"150",2768,0.7,"Ideal","E","SI1",60.9,57,5.73,5.76,3.5
"151",2768,0.71,"Premium","D","SI2",61.7,59,5.71,5.67,3.51
"152",2769,0.74,"Ideal","I","SI1",61.3,56,5.82,5.86,3.57
"153",2770,0.71,"Premium","D","VS2",62.5,60,5.65,5.61,3.52
"154",2770,0.73,"Premium","G","VS2",61.4,59,5.83,5.76,3.56
"155",2770,0.76,"Muy bueno","F","SI1",62.9,57,5.79,5.81,3.65
"156",2770,0.76,"Ideal","D","SI2",62.4,57,5.78,5.83,3.62
"157",2770,0.71,"Ideal","F","SI1",60.7,56,5.77,5.8,3.51
"158",2770,0.73,"Premium","G","VS2",60.7,58,5.87,5.82,3.55
"159",2770,0.73,"Premium","G","VS1",61.5,58,5.79,5.75,3.55
"160",2770,0.73,"Ideal","D","SI2",59.9,57,5.92,5.89,3.54
"161",2770,0.73,"Premium","G","VS2",59.2,59,5.92,5.87,3.49
"162",2771,0.72,"Muy bueno","H","VVS2",60.3,56,5.81,5.83,3.51
"163",2771,0.73,"Muy bueno","F","SI1",61.7,60,5.79,5.82,3.58
"164",2771,0.71,"Ideal","G","VS2",61.9,57,5.73,5.77,3.56
"165",2771,0.79,"Ideal","F","SI2",61.9,55,5.97,5.92,3.68
"166",2772,0.73,"Muy bueno","H","VVS1",60.4,59,5.83,5.89,3.54
"167",2772,0.8,"Muy bueno","F","SI2",61,57,6.01,6.03,3.67
"168",2772,0.58,"Ideal","G","VVS1",61.5,55,5.39,5.44,3.33
"169",2772,0.58,"Ideal","F","VVS1",61.7,56,5.33,5.37,3.3
"170",2772,0.71,"Bueno","E","VS2",59.2,61,5.8,5.88,3.46
"171",2773,0.75,"Ideal","D","SI2",61.3,56,5.85,5.89,3.6
"172",2773,0.7,"Premium","D","VS2",58,62,5.87,5.78,3.38
"173",2774,1.17,"Muy bueno","J","I1",60.2,61,6.83,6.9,4.13
"174",2774,0.6,"Ideal","E","VS1",61.7,55,5.41,5.44,3.35
"175",2774,0.7,"Ideal","E","SI1",62.7,55,5.68,5.74,3.58
"176",2774,0.83,"Bueno","I","VS2",64.6,54,5.85,5.88,3.79
"177",2775,0.74,"Muy bueno","F","VS2",61.3,61,5.8,5.84,3.57
"178",2776,0.72,"Muy bueno","G","VS2",63.7,56.4,5.62,5.69,3.61
"179",2776,0.71,"Premium","E","VS2",62.7,58,5.74,5.68,3.58
"180",2776,0.71,"Ideal","E","VS2",62.2,57,5.79,5.62,3.55
"181",2776,0.54,"Ideal","E","VVS2",61.6,56,5.25,5.27,3.24
"182",2776,0.54,"Ideal","E","VVS2",61.5,57,5.24,5.26,3.23
"183",2776,0.72,"Ideal","G","SI1",61.8,56,5.72,5.75,3.55
"184",2776,0.72,"Ideal","G","SI1",60.7,56,5.79,5.82,3.53
"185",2776,0.72,"Bueno","G","VS2",59.7,60.5,5.8,5.84,3.47
"186",2776,0.71,"Ideal","G","SI1",60.5,56,5.8,5.76,3.5
"187",2777,0.7,"Muy bueno","D","VS1",62.7,58,5.66,5.73,3.57
"188",2777,0.71,"Premium","F","VS2",62.1,58,5.67,5.7,3.53
"189",2777,0.71,"Muy bueno","F","VS2",62.8,57,5.64,5.69,3.56
"190",2777,0.71,"Bueno","F","VS2",63.8,58,5.61,5.64,3.59
"191",2777,0.71,"Bueno","F","VS2",57.8,60,5.87,5.9,3.4
"192",2777,0.7,"Ideal","E","VS2",62.1,55,5.7,5.67,3.53
"193",2777,0.7,"Premium","E","VS2",61.1,60,5.71,5.64,3.47
"194",2777,0.7,"Premium","E","SI1",60,59,5.79,5.75,3.46
"195",2777,0.7,"Premium","E","SI1",61.2,57,5.73,5.68,3.49
"196",2777,0.7,"Premium","E","SI1",62.7,59,5.67,5.63,3.54
"197",2777,0.7,"Premium","E","SI1",61,57,5.73,5.68,3.48
"198",2777,0.7,"Premium","E","SI1",61,58,5.78,5.72,3.51
"199",2777,0.7,"Ideal","E","SI1",61.4,57,5.76,5.7,3.52
"200",2777,0.72,"Premium","F","SI1",61.8,61,5.82,5.71,3.56
"201",2777,0.7,"Muy bueno","E","SI1",59.9,63,5.76,5.7,3.43
"202",2777,0.7,"Premium","E","SI1",61.3,58,5.71,5.68,3.49
"203",2777,0.7,"Premium","E","SI1",60.5,58,5.77,5.74,3.48
"204",2777,0.7,"Bueno","E","VS2",64.1,59,5.64,5.59,3.6
"205",2777,0.98,"Regular","H","SI2",67.9,60,6.05,5.97,4.08
"206",2777,0.78,"Premium","F","SI1",62.4,58,5.83,5.8,3.63
"207",2777,0.7,"Muy bueno","E","SI1",63.2,60,5.6,5.51,3.51
"208",2778,0.52,"Ideal","F","VVS1",61.3,55,5.19,5.22,3.19
"209",2779,0.73,"Muy bueno","H","VS2",60.8,56,5.82,5.84,3.55
"210",2779,0.74,"Ideal","E","SI1",61.7,56,5.84,5.8,3.59
"211",2780,0.7,"Muy bueno","F","VS2",63.6,57,5.61,5.65,3.58
"212",2780,0.77,"Premium","G","VS2",61.2,58,5.9,5.93,3.62
"213",2780,0.71,"Ideal","F","VS2",62.1,54,5.68,5.72,3.54
"214",2780,0.74,"Ideal","G","VS1",61.5,55,5.81,5.86,3.59
"215",2780,0.7,"Ideal","G","VS1",61.4,59,5.64,5.73,3.49
"216",2781,1.01,"Premium","F","I1",61.8,60,6.39,6.36,3.94
"217",2781,0.77,"Ideal","H","SI1",62.2,56,5.83,5.88,3.64
"218",2781,0.78,"Ideal","H","SI1",61.2,56,5.92,5.99,3.64
"219",2782,0.72,"Muy bueno","H","VS1",60.6,63,5.83,5.76,3.51
"220",2782,0.53,"Muy bueno","D","VVS2",57.5,64,5.34,5.37,3.08
"221",2782,0.76,"Ideal","G","VS2",61.3,56,5.9,5.94,3.63
"222",2782,0.7,"Bueno","E","VS1",57.2,62,5.81,5.77,3.31
"223",2782,0.7,"Premium","E","VS1",62.9,60,5.62,5.54,3.51
"224",2782,0.75,"Muy bueno","D","SI2",63.1,58,5.78,5.73,3.63
"225",2782,0.72,"Ideal","D","SI1",60.8,57,5.76,5.75,3.5
"226",2782,0.72,"Premium","D","SI1",62.7,59,5.73,5.69,3.58
"227",2782,0.7,"Premium","D","SI1",62.8,60,5.68,5.66,3.56
"228",2782,0.84,"Regular","G","SI1",55.1,67,6.39,6.2,3.47
"229",2782,0.75,"Premium","F","SI1",61.4,59,5.88,5.85,3.6
"230",2783,0.52,"Ideal","F","IF",62.2,55,5.14,5.18,3.21
"231",2784,0.72,"Muy bueno","F","VS2",63,54,5.69,5.73,3.6
"232",2784,0.79,"Muy bueno","H","VS1",63.7,56,5.85,5.92,3.75
"233",2787,0.72,"Muy bueno","F","VS2",63.6,58,5.66,5.69,3.61
"234",2787,0.51,"Ideal","F","VVS1",62,57,5.11,5.15,3.18
"235",2787,0.64,"Ideal","D","VS1",61.5,56,5.54,5.55,3.41
"236",2788,0.7,"Muy bueno","H","VVS1",60.5,60,5.74,5.77,3.48
"237",2788,0.83,"Muy bueno","I","VS1",61.1,60,6.07,6.1,3.72
"238",2788,0.76,"Ideal","I","VVS2",61.8,56,5.85,5.87,3.62
"239",2788,0.71,"Bueno","D","VS2",63.3,56,5.64,5.68,3.58
"240",2788,0.77,"Bueno","G","VS1",59.4,64,5.97,5.92,3.53
"241",2788,0.71,"Ideal","F","SI1",62.5,55,5.71,5.65,3.55
"242",2788,1.01,"Regular","E","I1",64.5,58,6.29,6.21,4.03
"243",2788,1.01,"Premium","H","SI2",62.7,59,6.31,6.22,3.93
"244",2789,0.77,"Bueno","F","SI1",64.2,52,5.81,5.77,3.72
"245",2789,0.76,"Bueno","E","SI1",63.7,54,5.76,5.85,3.7
"246",2789,0.76,"Premium","E","SI1",60.4,58,5.92,5.94,3.58
"247",2789,0.76,"Premium","E","SI1",61.8,58,5.82,5.86,3.61
"248",2789,1.05,"Muy bueno","J","SI2",63.2,56,6.49,6.45,4.09
"249",2789,0.81,"Ideal","G","SI2",61.6,56,5.97,6.01,3.69
"250",2789,0.7,"Ideal","E","SI1",61.6,56,5.72,5.75,3.53
"251",2789,0.55,"Ideal","G","IF",60.9,57,5.28,5.3,3.22
"252",2789,0.81,"Bueno","G","SI2",61,61,5.94,5.99,3.64
"253",2789,0.63,"Premium","E","VVS2",62.1,57,5.48,5.41,3.38
"254",2789,0.63,"Premium","E","VVS1",60.9,60,5.55,5.52,3.37
"255",2789,0.77,"Premium","H","VS1",61.3,60,5.9,5.88,3.61
"256",2789,1.05,"Regular","J","SI2",65.8,59,6.41,6.27,4.18
"257",2790,0.64,"Ideal","G","IF",61.3,56,5.54,5.58,3.41
"258",2790,0.76,"Premium","I","VVS1",58.8,59,6,5.94,3.51
"259",2790,0.83,"Ideal","F","SI2",62.3,55,6.02,6.05,3.76
"260",2790,0.71,"Premium","F","VS1",60.1,62,5.77,5.74,3.46
"261",2790,0.71,"Premium","F","VS1",61.8,59,5.73,5.69,3.53
"262",2791,0.87,"Muy bueno","I","SI1",63.6,55.8,6.07,6.1,3.87
"263",2791,0.73,"Ideal","E","SI1",62.2,56,5.74,5.78,3.58
"264",2792,0.71,"Premium","E","SI1",59.2,59,5.83,5.86,3.46
"265",2792,0.71,"Premium","E","SI1",61.8,59,5.7,5.75,3.54
"266",2792,0.71,"Ideal","E","SI1",61.3,55,5.72,5.77,3.52
"267",2792,0.7,"Premium","F","VS1",62.1,60,5.71,5.65,3.53
"268",2792,0.7,"Premium","F","VS1",60.7,60,5.78,5.75,3.5
"269",2792,0.76,"Premium","H","VVS2",59.6,57,5.91,5.86,3.51
"270",2792,0.7,"Ideal","F","VS1",62.2,56,5.73,5.68,3.55
"271",2793,0.79,"Muy bueno","G","SI1",60.6,57,5.98,6.06,3.65
"272",2793,0.7,"Muy bueno","E","VS2",62.9,57,5.66,5.69,3.57
"273",2793,0.7,"Bueno","E","VS2",64.1,55,5.6,5.66,3.61
"274",2793,0.76,"Ideal","I","VS2",61.3,56,5.87,5.91,3.61
"275",2793,0.73,"Ideal","H","VS2",62.7,55,5.72,5.76,3.6
"276",2794,0.79,"Muy bueno","E","SI1",63.2,56,5.91,5.86,3.72
"277",2795,0.71,"Muy bueno","E","VS2",60.7,56,5.81,5.82,3.53
"278",2795,0.81,"Premium","I","VVS2",61.9,60,5.91,5.86,3.64
"279",2795,0.81,"Ideal","F","SI2",62.6,55,5.92,5.96,3.72
"280",2795,0.72,"Bueno","F","VS1",60.7,60,5.74,5.72,3.48
"281",2795,0.72,"Premium","D","SI2",62,60,5.73,5.69,3.54
"282",2795,0.72,"Premium","I","IF",63,57,5.72,5.7,3.6
"283",2795,0.81,"Premium","H","VS2",58,59,6.17,6.13,3.57
"284",2795,0.72,"Premium","G","VS2",62.9,57,5.73,5.65,3.58
"285",2795,1,"Premium","I","SI2",58.2,60,6.61,6.55,3.83
"286",2796,0.73,"Bueno","E","SI1",63.2,58,5.7,5.76,3.62
"287",2797,0.81,"Muy bueno","H","SI2",61.3,59,5.94,6.01,3.66
"288",2797,0.81,"Muy bueno","E","SI1",60.3,60,6.07,6.1,3.67
"289",2797,0.71,"Premium","D","SI1",62.7,60,5.67,5.71,3.57
"290",2797,0.71,"Premium","D","SI1",61.3,58,5.73,5.75,3.52
"291",2797,0.71,"Premium","D","SI1",61.6,60,5.74,5.69,3.52
"292",2797,0.57,"Ideal","F","VVS2",61.9,55,5.34,5.35,3.31
"293",2797,0.51,"Ideal","D","VVS1",61.7,56,5.12,5.16,3.17
"294",2797,0.72,"Ideal","G","VS2",61.9,58,5.72,5.75,3.55
"295",2797,0.74,"Ideal","H","VS1",61.8,58,5.77,5.81,3.58
"296",2797,0.74,"Ideal","H","VS1",61.6,56,5.81,5.82,3.58
"297",2797,0.7,"Regular","G","VVS1",58.8,66,5.81,5.9,3.44
"298",2797,0.8,"Premium","F","SI2",61,57,6.03,6.01,3.67
"299",2797,1.01,"Regular","E","SI2",67.4,60,6.19,6.05,4.13
"300",2797,0.8,"Muy bueno","H","VS2",63.4,60,5.92,5.82,3.72
"301",2798,0.77,"Ideal","I","VS1",61.5,59,5.87,5.91,3.62
"302",2799,0.83,"Muy bueno","E","SI2",58,62,6.19,6.25,3.61
"303",2799,0.82,"Ideal","F","SI2",62.4,54,5.97,6.02,3.74
"304",2799,0.78,"Ideal","D","SI1",61.9,57,5.91,5.86,3.64
"305",2800,0.6,"Muy bueno","G","IF",61.6,56,5.43,5.46,3.35
"306",2800,0.9,"Bueno","I","SI2",62.2,59,6.07,6.11,3.79
"307",2800,0.7,"Premium","E","VS1",62.2,58,5.6,5.66,3.5
"308",2800,0.9,"Muy bueno","I","SI2",61.3,56,6.17,6.23,3.8
"309",2800,0.83,"Ideal","G","SI1",62.3,57,5.99,6.08,3.76
"310",2800,0.83,"Ideal","G","SI1",61.8,57,6.03,6.07,3.74
"311",2800,0.83,"Muy bueno","H","SI1",62.5,59,5.95,6.02,3.74
"312",2800,0.74,"Premium","G","VS1",62.9,60,5.74,5.68,3.59
"313",2800,0.79,"Ideal","I","VS1",61.8,59,5.92,5.95,3.67
"314",2800,0.61,"Ideal","G","IF",62.3,56,5.43,5.45,3.39
"315",2800,0.76,"Regular","G","VS1",59,70,5.89,5.8,3.46
"316",2801,0.96,"Ideal","F","I1",60.7,55,6.37,6.41,3.88
"317",2801,0.73,"Ideal","F","VS2",62.5,55,5.8,5.76,3.61
"318",2801,0.73,"Premium","F","VS2",62.7,58,5.76,5.7,3.59
"319",2801,0.75,"Ideal","H","SI1",60.4,57,5.93,5.96,3.59
"320",2801,0.71,"Premium","F","VS2",62.1,58,5.7,5.67,3.53
"321",2801,0.71,"Bueno","F","VS2",57.8,60,5.9,5.87,3.4
"322",2801,0.71,"Bueno","F","VS2",63.8,58,5.64,5.61,3.59
"323",2801,0.71,"Premium","F","VS2",62.8,57,5.69,5.64,3.56
"324",2801,1.04,"Premium","G","I1",62.2,58,6.46,6.41,4
"325",2801,1,"Premium","J","SI2",62.3,58,6.45,6.34,3.98
"326",2802,0.87,"Muy bueno","G","SI2",59.9,58,6.19,6.23,3.72
"327",2802,0.53,"Ideal","F","IF",61.9,54,5.22,5.25,3.24
"328",2802,0.72,"Premium","E","VS2",63,55,5.79,5.61,3.59
"329",2802,0.72,"Premium","F","VS1",62.4,58,5.83,5.7,3.6
"330",2803,0.7,"Muy bueno","F","VS2",62.9,58,5.63,5.65,3.55
"331",2803,0.74,"Muy bueno","E","SI1",63.5,56,5.74,5.79,3.66
"332",2803,0.71,"Ideal","G","VS2",61.3,56,5.75,5.71,3.51
"333",2803,0.73,"Ideal","E","SI1",60.6,54,5.84,5.89,3.55
"334",2803,0.7,"Bueno","G","VS1",65.1,58,5.56,5.59,3.63
"335",2803,0.71,"Premium","F","VS2",62.6,58,5.7,5.67,3.56
"336",2803,0.71,"Premium","F","VS2",58,62,5.85,5.81,3.38
"337",2803,0.71,"Premium","G","VS1",62.4,61,5.7,5.65,3.54
"338",2803,0.77,"Premium","G","VS2",61.3,57,5.93,5.88,3.62
"339",2803,0.71,"Premium","G","VS2",59.9,60,5.81,5.77,3.47
"340",2803,0.78,"Premium","G","VS2",60.8,58,6.03,5.95,3.64
"341",2803,0.71,"Muy bueno","G","VS1",63.5,55,5.66,5.64,3.59
"342",2803,0.91,"Ideal","D","SI2",62.2,57,6.21,6.15,3.85
"343",2804,0.71,"Muy bueno","E","VS2",63.8,58,5.62,5.66,3.6
"344",2804,0.71,"Muy bueno","E","VS2",64,57,5.66,5.68,3.63
"345",2804,0.8,"Muy bueno","E","SI2",62.5,56,5.88,5.96,3.7
"346",2804,0.7,"Muy bueno","D","SI1",62.3,58,5.69,5.73,3.56
"347",2804,0.72,"Ideal","F","VS1",61.7,57,5.74,5.77,3.55
"348",2804,0.72,"Muy bueno","F","VS1",62.2,58,5.75,5.7,3.56
"349",2804,0.82,"Ideal","H","VS2",61.5,56,6.01,6.08,3.72
